河北联通[A],#genre#
青县电视,http://fn.122020.xyz:4000/udp/239.253.93.139:6307
南皮综合,http://fn.122020.xyz:4000/udp/239.253.93.149:6317
盐山综合,http://fn.122020.xyz:4000/udp/239.253.93.144:6312
肃宁电视,http://fn.122020.xyz:4000/udp/239.253.93.152:6320
昌黎电视,http://fn.122020.xyz:4000/udp/239.253.92.109:6217
抚宁电视,http://fn.122020.xyz:4000/udp/239.253.93.201:6379
卢龙电视,http://fn.122020.xyz:4000/udp/239.253.93.206:6384
丰南电视,http://fn.122020.xyz:4000/udp/239.253.92.231:6070
迁西综合,http://fn.122020.xyz:4000/udp/239.253.92.247:6091
迁安综合,http://fn.122020.xyz:4000/udp/239.253.93.113:6280
滦州综合,http://fn.122020.xyz:4000/udp/239.253.92.97:6138
乐亭融媒,http://fn.122020.xyz:4000/udp/239.253.93.250:6290
丰润新闻综合,http://fn.122020.xyz:4000/udp/239.253.92.252:6156
香河综合,http://fn.122020.xyz:4000/udp/239.253.92.185:6049
霸州新闻,http://fn.122020.xyz:4000/udp/239.253.93.209:6387
大城电视,http://fn.122020.xyz:4000/udp/239.253.92.230:6068
清苑新闻,http://fn.122020.xyz:4000/udp/239.253.93.24:6177
定兴电视,http://fn.122020.xyz:4000/udp/239.253.93.14:6167
满城新闻,http://fn.122020.xyz:4000/udp/239.253.93.19:6172
望都电视,http://fn.122020.xyz:4000/udp/239.253.93.32:6185
高阳新闻,http://fn.122020.xyz:4000/udp/239.253.93.105:6272
安新综合,http://fn.122020.xyz:4000/udp/239.253.93.107:6274
容城电视,http://fn.122020.xyz:4000/udp/239.253.93.110:6277
顺平电视,http://fn.122020.xyz:4000/udp/239.253.93.148:6316
冀州综合,http://fn.122020.xyz:4000/udp/239.253.94.36:6571
武强融媒综合,http://fn.122020.xyz:4000/udp/239.253.93.79:6245
阜城综合,http://fn.122020.xyz:4000/udp/239.253.93.168:6336
涿鹿综合,http://fn.122020.xyz:4000/udp/239.253.93.181:6349
广宗电视,http://fn.122020.xyz:4000/udp/239.253.93.50:6203
宁晋电视,http://fn.122020.xyz:4000/udp/239.253.93.51:6204
威县综合,http://fn.122020.xyz:4000/udp/239.253.93.118:6466
平乡综合,http://fn.122020.xyz:4000/udp/239.253.93.53:6206
隆尧电视,http://fn.122020.xyz:4000/udp/239.253.93.65:6230
广平电视,http://fn.122020.xyz:4000/udp/239.253.93.66:6231
南和综合,http://fn.122020.xyz:4000/udp/239.253.93.80:6246
邯山综合,http://fn.122020.xyz:4000/udp/239.253.93.146:6314
大名新闻综合,http://fn.122020.xyz:4000/udp/239.253.93.186:6354
馆陶综合,http://fn.122020.xyz:4000/udp/239.253.93.115:6282
宽城综合,http://fn.122020.xyz:4000/udp/239.253.93.117:6019
滦平新闻,http://fn.122020.xyz:4000/udp/239.253.92.100:6142
双滦新闻,http://fn.122020.xyz:4000/udp/239.253.92.147:6224
赤城电视,http://fn.122020.xyz:4000/udp/239.253.93.160:6328
康保电视,http://fn.122020.xyz:4000/udp/239.253.93.165:6333
第一剧场,http://fn.122020.xyz:4000/udp/239.253.93.138:6428
第一剧场,http://fn.122020.xyz:4000/udp/239.253.92.18:6079
风云剧场,http://fn.122020.xyz:4000/udp/239.253.93.251:6429
风云剧场,http://fn.122020.xyz:4000/udp/239.253.92.22:6073
风云音乐,http://fn.122020.xyz:4000/udp/239.253.93.253:6431
风云音乐,http://fn.122020.xyz:4000/udp/239.253.92.111:8060
风云足球,http://fn.122020.xyz:4000/udp/239.253.93.254:6432
风云足球,http://fn.122020.xyz:4000/udp/239.253.92.110:8061
世界地理,http://fn.122020.xyz:4000/udp/239.253.92.131:6113
世界地理,http://fn.122020.xyz:4000/udp/239.253.92.113:8066
女性时尚,http://fn.122020.xyz:4000/udp/239.253.92.144:6114
女性时尚,http://fn.122020.xyz:4000/udp/239.253.92.249:6103
文化精品,http://fn.122020.xyz:4000/udp/239.253.93.175:6439
文化精品,http://fn.122020.xyz:4000/udp/239.253.92.25:6104
怀旧剧场,http://fn.122020.xyz:4000/udp/239.253.93.252:6430
怀旧剧场,http://fn.122020.xyz:4000/udp/239.253.92.98:6120
央视台球,http://fn.122020.xyz:4000/udp/239.253.93.231:6409
高尔夫网球,http://fn.122020.xyz:4000/udp/239.253.93.122:6465
高尔夫网球,http://fn.122020.xyz:4000/udp/239.253.92.117:8062
兵器科技,http://fn.122020.xyz:4000/udp/239.253.93.47:6435
兵器科技,http://fn.122020.xyz:4000/udp/239.253.92.119:8065
卫生健康,http://fn.122020.xyz:4000/udp/239.253.94.38:6636
电视指南,http://fn.122020.xyz:4000/udp/239.253.93.249:6427
电视指南,http://fn.122020.xyz:4000/udp/239.253.92.17:6078
老故事,http://fn.122020.xyz:4000/udp/239.253.92.132:8068
中学生,http://fn.122020.xyz:4000/udp/239.253.92.27:6106
发现之旅,http://fn.122020.xyz:4000/udp/239.253.94.30:6629
CETV1,http://fn.122020.xyz:4000/udp/239.253.92.211:6069
CETV2,http://fn.122020.xyz:4000/udp/239.253.92.108:6136
CETV早期教育,http://fn.122020.xyz:4000/udp/239.253.93.164:6440
CETV早期教育,http://fn.122020.xyz:4000/udp/239.253.92.39:6107
CETV4,http://fn.122020.xyz:4000/udp/239.253.92.200:6137
山东教育卫视,http://fn.122020.xyz:4000/udp/239.253.92.106:6135
中国交通,http://fn.122020.xyz:4000/udp/239.253.93.189:6357
CGTN,http://fn.122020.xyz:4000/udp/239.253.92.15:8011
CGTN英文记录,http://fn.122020.xyz:4000/udp/239.253.93.195:6373
CGTN阿拉伯语,http://fn.122020.xyz:4000/udp/239.253.93.198:6376
CGTN俄语,http://fn.122020.xyz:4000/udp/239.253.93.199:6377
CGTN法语,http://fn.122020.xyz:4000/udp/239.253.93.197:6375
CGTN西班牙语,http://fn.122020.xyz:4000/udp/239.253.93.196:6374
都市剧场,http://fn.122020.xyz:4000/udp/239.253.94.46:6575
卡酷少儿,http://fn.122020.xyz:4000/udp/239.253.92.162:8054
金鹰纪实,http://fn.122020.xyz:4000/udp/239.253.92.103:6054
