广西电信[A],#genre#
CCTV1,http://192.168.6.7:4022/rtp/239.81.0.102:4056
CCTV2,http://192.168.6.7:4022/rtp/239.81.0.115:4056
CCTV3,http://192.168.6.7:4022/rtp/239.81.0.231:4056
CCTV4,http://192.168.6.7:4022/rtp/239.81.0.96:4056
CCTV5,http://192.168.6.7:4022/rtp/239.81.0.232:4056
CCTV5,http://192.168.6.7:4022/rtp/239.81.0.101:4056
CCTV6,http://192.168.6.7:4022/rtp/239.81.0.233:4056
CCTV7,http://192.168.6.7:4022/rtp/239.81.0.116:4056
CCTV8,http://192.168.6.7:4022/rtp/239.81.0.234:4056
CCTV9,http://192.168.6.7:4022/rtp/239.81.0.117:4056
CCTV10,http://192.168.6.7:4022/rtp/239.81.0.118:4056
CCTV11,http://192.168.6.7:4022/rtp/239.81.0.229:4056
CCTV12,http://192.168.6.7:4022/rtp/239.81.0.119:4056
CCTV13,http://192.168.6.7:4022/rtp/239.81.0.206:4056
CCTV14,http://192.168.6.7:4022/rtp/239.81.0.120:4056
CCTV15,http://192.168.6.7:4022/rtp/239.81.0.230:4056
CCTV16,http://192.168.6.7:4022/rtp/239.81.0.142:4056
CCTV16,http://192.168.6.7:4022/rtp/239.81.0.144:4056
CCTV17,http://192.168.6.7:4022/rtp/239.81.0.228:4056
CCTV4K,http://192.168.6.7:4022/rtp/239.81.0.196:4056
广东卫视,http://192.168.6.7:4022/rtp/239.81.0.252:4056
广东卫视,http://192.168.6.7:4022/rtp/239.81.0.104:4056
湖南卫视,http://192.168.6.7:4022/rtp/239.81.0.72:4056
湖南卫视,http://192.168.6.7:4022/rtp/239.81.0.110:4056
东方卫视,http://192.168.6.7:4022/rtp/239.81.0.76:4056
东方卫视,http://192.168.6.7:4022/rtp/239.81.0.111:4056
北京卫视,http://192.168.6.7:4022/rtp/239.81.0.109:4056
北京卫视,http://192.168.6.7:4022/rtp/239.81.0.225:4056
北京纪实科教,http://192.168.6.7:4022/rtp/239.81.0.195:4056
浙江卫视,http://192.168.6.7:4022/rtp/239.81.0.75:4056
浙江卫视,http://192.168.6.7:4022/rtp/239.81.0.108:4056
江苏卫视,http://192.168.6.7:4022/rtp/239.81.0.73:4056
江苏卫视,http://192.168.6.7:4022/rtp/239.81.0.106:4056
深圳卫视,http://192.168.6.7:4022/rtp/239.81.0.254:4056
深圳卫视,http://192.168.6.7:4022/rtp/239.81.0.103:4056
天津卫视,http://192.168.6.7:4022/rtp/239.81.0.113:4056
湖北卫视,http://192.168.6.7:4022/rtp/239.81.0.112:4056
山东卫视,http://192.168.6.7:4022/rtp/239.81.0.78:4056
山东卫视,http://192.168.6.7:4022/rtp/239.81.0.114:4056
黑龙江卫视,http://192.168.6.7:4022/rtp/239.81.0.105:4056
吉林卫视,http://192.168.6.7:4022/rtp/239.81.0.143:4056
辽宁卫视,http://192.168.6.7:4022/rtp/239.81.0.210:4056
河北卫视,http://192.168.6.7:4022/rtp/239.81.0.94:4056
贵州卫视,http://192.168.6.7:4022/rtp/239.81.0.95:4056
东南卫视,http://192.168.6.7:4022/rtp/239.81.0.215:4056
安徽卫视,http://192.168.6.7:4022/rtp/239.81.0.211:4056
甘肃卫视,http://192.168.6.7:4022/rtp/239.81.0.207:4056
江西卫视,http://192.168.6.7:4022/rtp/239.81.0.204:4056
四川卫视,http://192.168.6.7:4022/rtp/239.81.0.80:4056
四川卫视,http://192.168.6.7:4022/rtp/239.81.0.130:4056
大湾区卫视,http://192.168.6.7:4022/rtp/239.81.0.32:4056
陕西卫视,http://192.168.6.7:4022/rtp/239.81.0.89:4056
河南卫视,http://192.168.6.7:4022/rtp/239.81.0.220:4056
云南卫视,http://192.168.6.7:4022/rtp/239.81.1.42:4056
新疆卫视,http://192.168.6.7:4022/rtp/239.81.0.122:4056
重庆卫视,http://192.168.6.7:4022/rtp/239.81.1.44:4056
海南卫视,http://192.168.6.7:4022/rtp/239.81.0.199:4056
山西卫视,http://192.168.6.7:4022/rtp/239.81.0.49:4056
青海卫视,http://192.168.6.7:4022/rtp/239.81.1.47:4056
内蒙古卫视,http://192.168.6.7:4022/rtp/239.81.0.54:4056
西藏卫视,http://192.168.6.7:4022/rtp/239.81.0.90:4056
宁夏卫视,http://192.168.6.7:4022/rtp/239.81.0.200:4056
山东教育卫视,http://192.168.6.7:4022/rtp/239.81.0.93:4056
三沙卫视,http://192.168.6.7:4022/rtp/239.81.1.79:4056
厦门卫视,http://192.168.6.7:4022/rtp/239.81.0.212:4056
兵团卫视,http://192.168.6.7:4022/rtp/239.81.0.223:4056
康巴卫视,http://192.168.6.7:4022/rtp/239.81.1.56:4056
延边卫视,http://192.168.6.7:4022/rtp/239.81.1.57:4056
安多卫视,http://192.168.6.7:4022/rtp/239.81.1.59:4056
中国教育1台,http://192.168.6.7:4022/rtp/239.81.0.92:4056
中国教育2台,http://192.168.6.7:4022/rtp/239.81.0.245:4056
中国教育3台,http://192.168.6.7:4022/rtp/239.81.1.62:4056
中国教育4台,http://192.168.6.7:4022/rtp/239.81.0.188:4056
中国天气,http://192.168.6.7:4022/rtp/239.81.1.100:4056
中国交通,http://192.168.6.7:4022/rtp/239.81.0.219:4056
CHC家庭影院,http://192.168.6.7:4022/rtp/239.81.0.238:4056
CHC动作电影,http://192.168.6.7:4022/rtp/239.81.0.239:4056
CHC影迷电影,http://192.168.6.7:4022/rtp/239.81.0.240:4056
精彩影视,http://192.168.6.7:4022/rtp/239.81.0.152:4056
金鹰纪实,http://192.168.6.7:4022/rtp/239.81.0.91:4056
茶频道,http://192.168.6.7:4022/rtp/239.81.1.95:4056
先锋乒羽,http://192.168.6.7:4022/rtp/239.81.0.236:4056
求索纪录,http://192.168.6.7:4022/rtp/239.81.0.153:4056
金鹰卡通,http://192.168.6.7:4022/rtp/239.81.0.148:4056
新动漫,http://192.168.6.7:4022/rtp/239.81.0.235:4056
卡酷动画,http://192.168.6.7:4022/rtp/239.81.0.62:4056
嘉佳卡通,http://192.168.6.7:4022/rtp/239.81.0.64:4056
哈哈炫动,http://192.168.6.7:4022/rtp/239.81.1.66:4056
动漫秀场,http://192.168.6.7:4022/rtp/239.81.1.82:4056
游戏风云,http://192.168.6.7:4022/rtp/239.81.1.83:4056
魅力足球,http://192.168.6.7:4022/rtp/239.81.1.84:4056
生活时尚,http://192.168.6.7:4022/rtp/239.81.1.85:4056
乐游,http://192.168.6.7:4022/rtp/239.81.1.87:4056
法治天地,http://192.168.6.7:4022/rtp/239.81.1.88:4056
金色学堂,http://192.168.6.7:4022/rtp/239.81.1.89:4056
都市剧场,http://192.168.6.7:4022/rtp/239.81.1.90:4056
快乐垂钓,http://192.168.6.7:4022/rtp/239.81.1.91:4056
东方财经,http://192.168.6.7:4022/rtp/239.81.1.93:4056
欢笑剧场,http://192.168.6.7:4022/rtp/239.81.1.86:4056
欢笑剧场,http://192.168.6.7:4022/rtp/239.81.1.92:4056
财富天下,http://192.168.6.7:4022/rtp/239.81.1.94:4056
家庭理财·标清,http://192.168.6.7:4022/rtp/239.81.1.71:4056
华数·高清影视,http://192.168.6.7:4022/rtp/239.81.0.15:4056
华数·高清影视,http://192.168.6.7:4022/rtp/239.81.0.65:4056
华数·高清影视,http://192.168.6.7:4022/rtp/239.81.0.67:4056
华数·高清影视,http://192.168.6.7:4022/rtp/239.81.0.82:4056
华数·高清影视,http://192.168.6.7:4022/rtp/239.81.0.83:4056
华数·高清影视,http://192.168.6.7:4022/rtp/239.81.0.84:4056
华数·高清影视,http://192.168.6.7:4022/rtp/239.81.0.85:4056
华数·高清影视,http://192.168.6.7:4022/rtp/239.81.0.100:4056
电子竞技·高清,http://192.168.6.7:4022/rtp/239.81.0.201:4056
电子竞技·高清,http://192.168.6.7:4022/rtp/239.81.0.202:4056
电子竞技·高清,http://192.168.6.7:4022/rtp/239.81.0.203:4056
BESTV,http://192.168.6.7:4022/rtp/239.81.0.166:4056
BESTV,http://192.168.6.7:4022/rtp/239.81.0.178:4056
BESTV,http://192.168.6.7:4022/rtp/239.81.0.179:4056
BESTV,http://192.168.6.7:4022/rtp/239.81.0.180:4056
BESTV,http://192.168.6.7:4022/rtp/239.81.0.181:4056
BESTV,http://192.168.6.7:4022/rtp/239.81.0.182:4056
BESTV,http://192.168.6.7:4022/rtp/239.81.0.183:4056
BESTV,http://192.168.6.7:4022/rtp/239.81.0.184:4056
BESTV,http://192.168.6.7:4022/rtp/239.81.0.185:4056
BESTV,http://192.168.6.7:4022/rtp/239.81.0.186:4056
爱上4K,http://192.168.6.7:4022/rtp/239.81.0.123:4056
优购物·标清,http://192.168.6.7:4022/rtp/239.81.0.132:4056
广西视听商城·高清,http://192.168.6.7:4022/rtp/239.81.0.124:4056
广西IPTV宣传片,http://192.168.6.7:4022/rtp/239.81.0.208:4056
藤县新闻,http://192.168.6.7:4022/rtp/239.81.0.1:4056
灵山新闻,http://192.168.6.7:4022/rtp/239.81.0.189:4056
容县新闻,http://192.168.6.7:4022/rtp/239.81.0.194:4056
三江新闻,http://192.168.6.7:4022/rtp/239.81.0.197:4056
扶绥新闻,http://192.168.6.7:4022/rtp/239.81.0.217:4056

广西电信[C],#genre#
玉林新闻综合,http://192.168.6.7:4022/rtp/239.81.0.177:4056
广西卫视,http://192.168.6.7:4022/rtp/239.81.0.107:4056
广西综艺旅游,http://192.168.6.7:4022/rtp/239.81.0.214:4056
广西新闻,http://192.168.6.7:4022/rtp/239.81.0.248:4056
广西都市,http://192.168.6.7:4022/rtp/239.81.0.247:4056
广西影视,http://192.168.6.7:4022/rtp/239.81.0.250:4056
广西国际,http://192.168.6.7:4022/rtp/239.81.0.8:4056
广西乐思购,http://192.168.6.7:4022/rtp/239.81.0.9:4056
广西移动电视,http://192.168.6.7:4022/rtp/239.81.0.216:4056
南宁新闻综合,http://192.168.6.7:4022/rtp/239.81.0.241:4056
南宁文旅生活,http://192.168.6.7:4022/rtp/239.81.0.139:4056
南宁影视娱乐,http://192.168.6.7:4022/rtp/239.81.0.140:4056
