四川电信[A],#genre#
CDTV5,http://182.143.18.74:8888/udp/239.94.0.158:5140
CDTV6,http://182.143.18.74:8888/udp/239.94.0.159:5140
CDTV8高清,http://182.143.18.74:8888/udp/239.94.0.160:5140
金鹰纪实,http://182.143.18.74:8888/udp/239.94.1.1:5140
CETV1,http://182.143.18.74:8888/udp/239.94.1.2:5140
熊猫新闻高清专区,http://182.143.18.74:8888/udp/239.94.1.3:5140
熊猫体娱高清专区,http://182.143.18.74:8888/udp/239.94.1.4:5140
熊猫少儿高清专区,http://182.143.18.74:8888/udp/239.94.1.5:5140
熊猫影院专区,http://182.143.18.74:8888/udp/239.94.1.6:5140
云看熊猫专区,http://182.143.18.74:8888/udp/239.94.1.7:5140
金熊猫卡通高清专区,http://182.143.18.74:8888/udp/239.94.1.8:5140
嘉佳卡通,http://182.143.18.74:8888/udp/239.94.1.10:5140
熊猫爱生活高清专区,http://182.143.18.74:8888/udp/239.94.1.11:5140
大爱四川高清专区,http://182.143.18.74:8888/udp/239.94.1.12:5140
