河南联通[A],#genre#
金鹰卡通,http://222.141.134.39:8888/udp/225.1.4.49:1078
嘉佳卡通,http://222.141.134.39:8888/udp/225.1.4.92:1121
动画,http://222.141.134.39:8888/udp/225.1.4.189:1238
新动漫,http://222.141.134.39:8888/udp/225.1.4.212:1265
CETV1,http://222.141.134.39:8888/udp/225.1.4.173:1712
CETV2,http://222.141.134.39:8888/udp/225.1.4.165:1206
CETV4,http://222.141.134.39:8888/udp/225.1.4.171:1710
金鹰纪实,http://222.141.134.39:8888/udp/225.1.4.172:1711
湖南先锋乒羽,http://222.141.134.39:8888/udp/225.1.4.210:1263
国学,http://222.141.134.39:8888/udp/225.1.4.196:1311
CCTV4,http://222.141.134.39:8888/udp/225.1.5.31:1342
CCTV4,http://222.141.134.39:8888/udp/225.1.5.32:1343
CGTN,http://222.141.134.39:8888/udp/225.1.4.16:1045
CGTN,http://222.141.134.39:8888/udp/225.1.5.34:1344
CGTN,http://222.141.134.39:8888/udp/225.1.5.35:1345
CGTN西班牙语,http://222.141.134.39:8888/udp/225.1.5.36:1346
CGTN法语,http://222.141.134.39:8888/udp/225.1.5.37:1347
CGTN阿拉伯语,http://222.141.134.39:8888/udp/225.1.5.38:1348
CGTN俄语,http://222.141.134.39:8888/udp/225.1.5.39:1349
爱体育,http://222.141.134.39:8888/udp/225.1.4.168:1220
爱电影,http://222.141.134.39:8888/udp/225.1.4.6:1035
爱大剧,http://222.141.134.39:8888/udp/225.1.4.8:1037
经典电影,http://222.141.134.39:8888/udp/225.1.4.175:1233
爱生活,http://222.141.134.39:8888/udp/225.1.4.176:1225
好学生,http://222.141.134.39:8888/udp/225.1.4.177:1226
国学,http://222.141.134.39:8888/udp/225.1.4.178:1227
早教,http://222.141.134.39:8888/udp/225.1.4.179:1228
高网,http://222.141.134.39:8888/udp/225.1.4.180:1229
军事,http://222.141.134.39:8888/udp/225.1.4.181:1230
美妆,http://222.141.134.39:8888/udp/225.1.4.182:1231
地理,http://222.141.134.39:8888/udp/225.1.4.183:1232
音乐现场,http://222.141.134.39:8888/udp/225.1.4.184:1224
IPTV谍战剧场,http://222.141.134.39:8888/udp/225.1.4.185:1240
IPTV相声小品,http://222.141.134.39:8888/udp/225.1.4.186:1235
IPTV野外,http://222.141.134.39:8888/udp/225.1.4.187:1236
IPTV法治,http://222.141.134.39:8888/udp/225.1.4.188:1237
热播剧场,http://222.141.134.39:8888/udp/225.1.4.190:1239
足球,http://222.141.134.39:8888/udp/225.1.4.200:1250
爱综艺,http://222.141.134.39:8888/udp/225.1.4.204:1252
魅力时尚,http://222.141.134.39:8888/udp/225.1.4.205:1253
精选,http://222.141.134.39:8888/udp/225.1.4.253:1299
爱上4K,http://222.141.134.39:8888/udp/225.1.4.162:1204
CCTV4K,http://222.141.134.39:8888/udp/225.1.5.65:1375
河南卫视,http://222.141.134.39:8888/udp/225.1.4.98:1127
北京卫视,http://222.141.134.39:8888/udp/225.1.5.67:1377
深圳卫视,http://222.141.134.39:8888/udp/225.1.5.68:1378
广东卫视,http://222.141.134.39:8888/udp/225.1.5.69:1379

# 更新时间: 2026-04-15 07:15:30
