湖北电信[A],#genre#
CHC家庭影院,http://27.18.35.149:6868/udp/239.69.1.243:11100
CHC动作电影,http://27.18.35.149:6868/udp/239.69.1.242:11094
CHC影迷电影,http://27.18.35.149:6868/udp/239.69.1.241:11088
第一剧场,http://27.18.35.149:6868/udp/239.69.1.74:10084
都市剧场,http://27.18.35.149:6868/udp/239.69.2.4:11178
怀旧剧场,http://27.18.35.149:6868/udp/239.69.1.89:10174
欢笑剧场,http://27.18.35.149:6868/udp/239.69.2.5:11184
动漫秀场,http://27.18.35.149:6868/udp/239.69.2.6:11190
新动漫,http://27.18.35.149:6868/udp/239.69.1.187:10764
电视指南,http://27.18.35.149:6868/udp/239.69.1.87:10162
央视台球,http://27.18.35.149:6868/udp/239.69.1.98:10224
风云足球,http://27.18.35.149:6868/udp/239.69.1.81:10126
高尔夫网球,http://27.18.35.149:6868/udp/239.69.1.83:10138
四海钓鱼,http://27.18.35.149:6868/udp/239.69.1.244:11106
快乐垂钓,http://27.18.35.149:6868/udp/239.69.1.142:10488
游戏风云,http://27.18.35.149:6868/udp/239.69.2.8:11202
武术世界,http://27.18.35.149:6868/udp/239.69.1.47:9922
汽摩,http://27.18.35.149:6868/udp/239.69.1.84:10144
东方财经,http://27.18.35.149:6868/udp/239.69.2.9:11208
法治天地,http://27.18.35.149:6868/udp/239.69.2.10:11214
生活时尚,http://27.18.35.149:6868/udp/239.69.2.11:11220
乐游,http://27.18.35.149:6868/udp/239.69.2.12:11226
金色学堂,http://27.18.35.149:6868/udp/239.69.2.13:11232
兵器科技,http://27.18.35.149:6868/udp/239.69.1.79:10114
世界地理,http://27.18.35.149:6868/udp/239.69.1.91:10186
梨园,http://27.18.35.149:6868/udp/239.69.1.33:9838
文物宝库,http://27.18.35.149:6868/udp/239.69.1.46:9916
书画,http://27.18.35.149:6868/udp/239.69.1.189:10776
茶HD,http://27.18.35.149:6868/udp/239.69.1.144:10500
女性时尚,http://27.18.35.149:6868/udp/239.69.1.86:10156
风云音乐,http://27.18.35.149:6868/udp/239.69.1.90:10180
老故事,http://27.18.35.149:6868/udp/239.69.1.85:10150
凤凰中文,http://27.18.35.149:6868/udp/239.69.2.20:11274
凤凰资讯,http://27.18.35.149:6868/udp/239.69.2.19:11268
ITV导视HD,http://27.18.35.149:6868/udp/239.69.1.65:10030
九屏导视HD,http://27.18.35.149:6868/udp/239.69.1.156:10572
芒果1,http://27.18.35.149:6868/udp/239.69.1.12:9712
芒果2,http://27.18.35.149:6868/udp/239.69.1.13:9718
测试频道1HD,http://27.18.35.149:6868/udp/239.69.1.177:10698

# 更新时间: 2026-04-27 09:04:04
